id;campaign_name;discount_rate
ef8aa881-4588-493f-a6b8-357a62772dc5;AWALBULANCERIA;0.047
9436ef60-6850-4fb8-9400-1e4202996f64;HOREDISKON;0.053
b0c46649-b426-4829-a842-e01749b4fe0a;ASIKMANIS;0.098
1279d9c9-5ded-4a99-9675-9474cbe33e27;GRATISTISTIS;0.084
591a59cd-60a8-4d7a-a07d-463d180201b0;DISKONUHUY;0.015
d6f17210-ba7c-49f4-b424-4544bffb75fc;GREATDISCOUNT;0.025
fd631070-6e6a-4990-830c-9c0c6eabc69d;PROMOYE;0.033
a5e0e0f4-61ec-4354-8d40-4e47a47f764b;MANTAPGAS;0.097
59884cfb-e900-4557-a071-0b4ad495df06;OKEGAS;0.09
c7ef8ac5-56a7-4e05-8293-9f64b898d5ea;PROMOGAS;0.052
a4210969-b2a6-47fe-8c4a-7a7ce41e9136;SKUYLAHBELANJA;0.004
e1cb1531-8bc1-4fef-b794-7f7bacda6505;BELANJASIK;0.042
fdd8615c-739c-471d-a4f5-70e10d78d81a;PROMOASIK;0.043
f8100d79-6533-4fd6-b081-2ca6d485cba0;AWALBULANCERIA;0.004
18f041d2-efee-4934-b02c-9362ca6b0812;HOREDISKON;0.068
5bff9ae0-78f0-4c5a-bd86-f8ea0a753045;ASIKMANIS;0.031
de888115-56f4-414a-a7df-b4e3d47c67dd;GRATISTISTIS;0.057
257deb66-5e28-47ad-8494-e69e19e9d692;DISKONUHUY;0.029
9976dd81-1c36-47c4-902a-77a0052fb74b;GREATDISCOUNT;0.047
04f41955-78a6-4139-bde4-380a1e5be309;PROMOYE;0.092
d57f2449-2ba2-4dc1-8b6a-58da3439693f;MANTAPGAS;0.079
44dbd299-57f9-4654-8a4c-7b13652ef114;OKEGAS;0.043
4d12eba4-3d32-4b96-bfc2-9d3e94b85691;PROMOGAS;0.09
74c31fd8-9224-459e-97ed-e1b24ba64e16;SKUYLAHBELANJA;0.084
af4b2e9d-6a00-4f31-8116-ce0371521478;BELANJASIK;0.043
66c1ad75-94b6-4089-b91d-e6660bcedd35;PROMOASIK;0.1
dd06ebcd-2f53-4b7f-896c-56b9fb9b2919;AWALBULANCERIA;0.021
c7e3f2db-033d-4da7-b210-6eb9060c0949;HOREDISKON;0.003
6c813ca0-377e-4554-a8a6-041f169f3b15;ASIKMANIS;0.082
c99ade6e-1ef0-47f8-b56d-0d84ac53837c;GRATISTISTIS;0.057
c5979578-dc43-4b51-9e70-d6dafd73a189;DISKONUHUY;0.051
37cf3dd2-8584-4421-bb39-04f4b6b75a4c;GREATDISCOUNT;0.088
3913f26a-3855-41cb-a391-2775d5aa9608;PROMOYE;0.025
5c4c135b-3d2d-4d92-9f50-48e9f6e9d309;MANTAPGAS;0.007
80289083-2630-4e94-8432-4aca7d2d3e6a;OKEGAS;0.095
f31757ab-9a38-4394-99d8-81819c093fc3;PROMOGAS;0.082
9bbeed9a-64f6-4872-b9fb-b7c1dc5878c4;SKUYLAHBELANJA;0.007
84fc256e-63ca-4f1d-b6b3-d1adce2d4b75;BELANJASIK;0.083
2c43bad4-322b-4924-a743-eed02a900827;PROMOASIK;0.075
21648938-050d-45c5-9e48-e97614250d38;AWALBULANCERIA;0.056
94d0098a-a6c4-44fe-818f-0876adf4cc43;HOREDISKON;0.065
ae5481f1-3e32-4860-a5e0-4ff7c87c5ac4;ASIKMANIS;0.1
0111a65d-9341-4290-a036-20402e5a1d3f;GRATISTISTIS;0.063
f02e46c2-9dce-4c40-b5f7-cad5a4265f22;DISKONUHUY;0.089
39e53bdc-a9d9-4da3-8514-09566848b314;GREATDISCOUNT;0.03
2d0e41b5-f68a-4043-a44e-dddf14aff7f9;PROMOYE;0.021
