transaction_id;material_cost;insurance_cost
84fc256e-63ca-4f1d-b6b3-d1adce2d4b75;59435;17532
2c43bad4-322b-4924-a743-eed02a900827;37520;23581
21648938-050d-45c5-9e48-e97614250d38;45829;20228
94d0098a-a6c4-44fe-818f-0876adf4cc43;44120;23069
ae5481f1-3e32-4860-a5e0-4ff7c87c5ac4;47577;15071
0111a65d-9341-4290-a036-20402e5a1d3f;51715;29182
f02e46c2-9dce-4c40-b5f7-cad5a4265f22;44272;24265
39e53bdc-a9d9-4da3-8514-09566848b314;46766;20408
2d0e41b5-f68a-4043-a44e-dddf14aff7f9;51810;16856
8f2a636d-4270-4634-8bc8-da0ad2c578ee;37430;15238
041a89ea-893e-4f03-bc7f-3abb7d495d96;52864;22049
7c509233-d202-41c6-8e04-dd7280ab10aa;57657;10521
8995e0d5-19b9-4ef5-a355-b718b94da4a9;63687;27923
600efa60-b0a8-4344-8728-44babae7e71f;54397;11677
4996af7c-2ee1-4903-86e7-799b723ad3c0;69236;28251
2bb063fe-ca69-4261-a222-29a8f0f902af;43383;11325
b2e78784-16c4-4903-8a05-7ea2394f5af1;50978;19975
69306659-f390-44f1-96b1-07871b0c47c5;60524;25250
c84e1aad-9884-49af-a59f-b75596bb14ba;33484;14560
1239a5f4-7077-4b9c-a20c-66fdf48b4f94;67982;16419
08fd6a20-23ab-48e6-b93d-961828e54152;49732;24626
7933133c-eb59-4cec-a787-93606ee86916;40985;26446
2e883a83-0480-46c1-9fcb-e6cc01faf213;58339;15406
e2152aa4-4c43-4c96-9c45-6b92a94737ba;63877;22888
7faf0636-e8ff-496d-a563-593df36917fd;55897;12458
0849c088-7cf5-4c56-b322-04c7cc59187c;52018;21978
7944d8dd-0b89-45f0-8d10-b2c737906c61;39528;10663
1f30427d-fd7f-4186-a828-a8f1e71f0d34;42842;29367
970dcb43-4fde-45dd-b79e-40a55e6708e0;36009;22590
3d089216-2a85-4849-a007-9e7990036693;54842;28805
200a4104-a36b-43c5-affe-6c1bdf30c082;30359;25887
68434b1d-5cb8-40c5-a8da-f2f3e1b57be3;46840;19874
22a1285a-5c47-4d26-bdb6-8ece0f8f2878;69007;24552
56324d30-2ee4-46e2-baab-c2207c6de48a;36680;14859
54e0a7e5-042c-40b4-9126-f873b2ce8e6b;68633;17464
7a305491-90c3-455f-bede-11e165ffd044;46061;19059
c908c33f-43c6-48d7-a13c-b069b21f8d79;50212;16917
963945f8-2384-4fe8-8eec-d748492ec9c9;51325;17520
ca2afe13-57d7-4112-8a1e-0bad5b3c26d7;52809;17914
3ad8f971-862b-4964-bc29-18cce1b61b3b;46308;21552
2d367c13-ea95-41ba-bd96-a7bd8912d95a;54712;12773
6acf51da-bd37-4bce-8b24-4acbf4c010db;55027;20228
9e0f8b3f-a5d8-478e-878d-3dcc5a826cd1;61962;10986
26710e92-af6a-4b23-a58c-ee7621ba4cbf;54204;21413
2b96bbff-ebe7-4605-9853-5489b94b38a6;47401;12201
308e1c0c-a80a-4576-8f32-6736c211286d;37368;29022
1037a989-aa4b-450c-97b9-328aa78abb53;35817;24854
e259d4f8-0b56-4d21-b4c3-212609726fd0;59060;20144
5a47c8c4-5abf-4c9e-bfbe-e48490c6e4a4;32737;22200
6f5ab051-370e-48a5-b0b0-5525ae83ad73;60532;13165
c59f8214-c261-425c-ae02-f2fb1fae2d81;40404;21670
4cefa498-423b-4454-a357-be6529ca08e8;45782;23421
0a1faba3-5461-40f1-96b2-047e121005a3;65001;29530
5479a69b-bacc-4f54-b6b6-6ccfca1a6d18;40711;20102
f4f488f8-3920-41c2-a4c9-ffd233d10d05;39827;12450
ee387314-ef03-41b7-99c2-e46890a290b9;54704;25925
21b4c179-c7f5-4949-b052-662532105c08;54599;11073
6198016e-7d80-4e96-97ae-f44718875cbe;37962;16807
96ad6d04-4c77-4305-9e7f-5e55b0b50150;64452;17070
44b285dc-1b8f-43a3-bdeb-c84939398a0f;51636;20657
0082c580-9713-4454-982c-f7ecb37f8e0e;37480;25076
b67b87f7-dde2-4a88-bc19-876a322fc8b9;43744;21222
26bdd935-f498-48f6-8255-688b33742972;39877;17279
26f913d3-cac3-4915-9029-9c1146e49f69;57961;26613
845c8305-e8ca-4e1b-b7e6-669bf0094df6;64165;16283
2575915e-a897-49bc-9399-77e00fca0e05;66763;13757
ca710f8a-832c-45a5-ac41-e0435287e8b4;66728;15832
29a4099f-bb72-43b8-950b-d9d1f1dd6cff;59680;29556
9c99d4a0-74a7-47c6-9de5-0011fcc4d1a3;30162;29826
b2623022-d3de-40dd-ba4a-c79236209d7a;41527;18630
a3f2faa5-11a3-4690-bd18-0a14bb2fab4a;65558;21116
2d6f99e3-5e1c-4528-af00-8aea8fcd2434;31903;11606
04925628-55fd-4c0e-93fd-2b069c877080;67280;15565
c22cca78-f57b-4ba2-a98c-6da4beb25aff;65557;10330
cc15af82-f380-4602-bf04-2b4d822f9230;54734;19184
daf728b0-2ce2-4648-9738-8b496ed44942;31876;22109
7378c716-7a97-4364-a570-359f0ae17581;42516;21501
c2a0f8e0-c83c-4ac4-9dee-28ae0ce4c51f;66678;22869
4de0dfb1-67a8-479a-a923-703b98d0e5a1;68465;28287
9c4ce612-f6f8-4681-b813-877f5bcb5980;54471;27642
39c23f57-50ec-430c-b07e-31a516e46a84;55083;23417
55b328f3-6253-435d-aba2-1988fdc7c961;53559;20485
dd474f41-4898-4e0e-aa7e-ca2fc989eab1;57351;10173
bac6d1f2-4b90-4aec-ad25-6bd08f6acf36;30166;18581
d6cfc28e-942b-4da4-9768-ba41510c1c0a;38330;16553
534de9b7-14a6-492b-90f9-7cb7967ab131;32939;17776
a78b49df-5106-40aa-ba08-24724241b6c1;59734;27850
ed04f73d-37e7-49f9-82bf-c33fffb6ae09;53584;18183
9675736b-d2a1-4187-8fe2-89efcede80c4;48577;29560
7f53d00a-e543-49a3-b66c-c74f88e755c8;62271;26384
f99fac9e-49d6-4e2c-bf2e-3f0b61c05403;45473;10589
5efc4413-9be6-4f13-a0ca-230643504682;32788;28037
2e8aff60-da3c-467d-95d8-b7b73561a733;50098;17127
110ae784-de9c-4bab-b3a9-8ee2cf864597;67818;10401
1246674c-01ac-489f-97fe-92ddb94c14b2;41558;20444
72bc04f8-c676-4350-99fa-3f55cc883292;30345;15648
941f03e0-24cf-4993-a7c9-4d51e9dd6462;67543;11396
becb8e20-3b74-41da-b221-0e9eb073177d;33987;11883
2adf9734-cfdc-4ba8-ae62-edb5cf01493b;51026;12054
e9f58e8b-6370-42ee-9e46-840d4f3db04c;34839;23378
2145b370-9f93-4bfd-9727-bd94e0d459b4;34052;20732
35abdf63-ce9c-4850-86af-cc101506ec8b;35179;12542
1c012fee-88eb-49e7-b2a4-05c9920bf2ef;50899;14369
213402bd-f874-47d8-b16d-7c9a1577bdba;54393;10752
d086b539-7efc-48b7-a51b-c1c677eaad6b;56934;23553
fc3380cd-1687-4e4a-8c0e-cebbc61aa2bf;54783;17027
e4b54331-a7f0-4ba4-97ae-4b798c700880;40819;12546
5df2e841-7455-47b0-a834-96b042b90693;63858;27946
b7b49a10-d45a-4622-876e-30bdf8bc98b2;48797;19291
9a5252e3-83fa-4689-843f-341ff3d406f2;45066;19966
27ef9a71-4127-4e4c-aca3-fbeb685b2849;49423;10548
8d276828-014c-4b5c-817d-c50c6da510d9;33969;18776
2b931ebb-b44d-4ef8-8259-9b1eee3e2d43;69022;28038
6259eb55-7982-4ea1-9cc8-2916350af61c;48698;14450
f34c2c38-35b6-4259-b6fe-fd25898e01b8;42830;12738
2cde2d22-761a-49a7-b382-3b09ecac4fef;36350;24963
fac7c9f6-a28e-4958-8fc2-95cbca0a28db;63123;18914
4842d544-eac0-47ea-be60-66b414324417;53681;14063
97793468-d95d-4960-b4bc-87e5e4b4f73b;43180;20282
379da3e6-08c6-4d4f-a6a1-3d496d91b2ac;43680;28386
e4fc2ef2-3df6-45bb-add0-5e95f266b25a;53900;24077
c2f25e5c-5727-47fa-b924-6535b5958d52;37087;28517
aec7d09c-7461-46d8-8d6e-0d3c805e0c55;37752;23889
080536cc-163b-4c8f-8919-ae1ad5f6b812;42422;21739
af1ef657-0454-439c-a1df-04a5197dd85f;55591;21258
ea575d9e-d014-4fd8-ae64-6f3df50c1cba;38273;18466
a933ff05-4a55-458e-a5f8-2b7243fb531b;36140;29621
2ef75099-5edd-4189-95a5-f84bedaf0554;33857;27990
2f02e6c0-90fd-491d-966f-ca9abe1e9aa4;42118;13212
2e533c21-086f-45f7-b4aa-15cb527879b8;36903;18298
f23d221f-0488-4389-a0e5-dac573f3f17c;60208;23394
25a29ff4-2cd2-49fc-82f0-b37f959eae7e;41242;14889
62682857-1e28-40c2-a7f5-c8abea108fd7;37155;18412
f728b73f-99c4-42f8-941c-53f225b0ba24;62792;22419
e274b246-e0f6-4494-914f-cd0009d78a5b;69042;20071
06311e82-78ae-4d45-99e6-648b9e2a5331;39741;24431
9b979537-2629-4aea-b499-45db5caa049d;38931;28031
aa12e8bc-7778-4d94-a1bf-ac6dfd5003d4;49051;25008
c220d959-d765-43b0-b5ae-7026feb81741;40204;12836
30755429-d5c5-43ba-a791-8846b4457c0d;45722;12343
d15f7965-03d8-4178-9181-a3357b733ffd;49541;18737
c309cdc6-fc76-4044-ae8e-0ea2c3e81e60;62048;20315
0ae724f3-6f14-4222-916e-40ba12937fb4;44376;28612
b87609b8-950b-47c7-8f98-97715257bbed;39382;29520
b6f49875-00fc-4a86-bb24-2578d16be7c5;35137;12330
c8deb9c3-e743-44a2-a2c8-104f9153a907;40755;24484
702fe46d-887e-411f-bbeb-81ac8039f939;60802;24029
8b6d0118-2aca-4984-b0f7-cc3ae98676e1;58320;16327
c9c10663-ab10-46b8-9bdf-70c3e4eaaa58;36779;18333
22f5da65-bfb9-4086-9b27-7c21a6ed9f50;57654;27976
2045aba3-3bd9-46d7-be56-6bc616e5bb3d;52047;24537
fe99c03a-2835-44ef-b669-0eaabf87a942;36488;29340
61c71e2a-4102-4f65-ae8a-fdd84faa9884;59648;27930
8034cac7-132e-441f-a0e4-973ecf2c0b9d;35279;28006
5f45d70a-b0dd-41e9-a0ef-42061e9d5fed;30868;28244
da9a116d-f671-4d71-97d6-282f469e08cd;42469;20226
36f8ac9d-9caf-4b7c-a61b-d924efcab374;69615;23373
aa86c925-fc1e-4d95-988d-e7f6c5af4bce;63552;21091
0d4bc9f4-f086-418f-87a6-4d8637bcb98d;63094;26756
1fae1f0e-7d5d-431a-93e6-e76b4ec21c07;52830;21257
c498cf77-15cc-413e-8398-c923f9b8cad3;52812;11913
695aac0f-3fda-437f-8785-5303d1f9101d;48284;29313
20a37f09-8c33-41ba-a007-9aea6e5d8712;48494;12327
345aa24d-92ff-4895-b03b-1556aa54f4f4;41411;20136
ea767c54-11bd-4633-85d1-cf3b37aa098f;68965;25767
079a378e-3876-4ee1-9be0-770016029437;49771;17339
