id;revenue;payment_method;bank_code
009e656b-bf3d-486f-8221-f5c7322ad27e;427901;VIRTUAL_ACCOUNT;MANDIRI
db0a880c-8eb0-4451-9e9d-2b4286c3c16e;445293;MANUAL_TRANSFER;BCA
f878b29b-49c0-4518-8c02-7d2800ed7ae0;126631;GOPAY;GOPAY
1a4f4874-7a84-4901-965d-908eb93408f3;234255;PAYLATER;KREDIVO
16a486dd-3856-4500-affb-a188082eb1d9;468013;BALANCE;BALANCE
9f3f4054-5127-4021-9c8e-fa825e978db1;421653;GOPAY;GOPAY
4b851484-41c6-47e6-8617-edc39698033f;135628;PAYLATER;JULO
ce006d11-06b5-4ddc-ba31-211854dab4f6;126513;BALANCE;BALANCE
a09d68b0-7170-4f98-bdac-c610a8301a88;463334;PAYLATER;KREDIVO
c7989034-5927-415c-9e04-ac976a8a79ce;330508;BALANCE;BALANCE
4d878016-7a2f-4fb6-b1c9-ed54060a0a25;450250;VIRTUAL_ACCOUNT;BCA
eb96e109-e477-434f-a9d0-f385d90cfe51;260865;MANUAL_TRANSFER;MANDIRI
1592cb54-7c3f-4ede-b215-3b132117c881;292139;VIRTUAL_ACCOUNT;BRI
e8c9536d-f695-47c5-a5e9-32d24cd5abda;165490;MANUAL_TRANSFER;MANDIRI
12b4fa03-24ac-4000-98a6-e39ab9388ed7;354258;MANUAL_TRANSFER;BRI
5e99e0b2-048b-4b5b-b303-7456dfcb01aa;252191;MANUAL_TRANSFER;BNI
2c2eb5a1-bd52-45a3-8d01-af789b0ed15d;444463;MANUAL_TRANSFER;BNI
aac592c5-ad17-4a0e-a745-841fba645670;154364;MANUAL_TRANSFER;BRI
1b12d37d-f9c3-4ef4-9dcc-39cd72b62191;401373;PAYLATER;JULO
c74fb461-1317-4805-8d37-f3f288075ba2;298510;BALANCE;BALANCE
a7cb07ac-4cc0-4a64-8cba-b0c9ebae4a90;312661;VIRTUAL_ACCOUNT;BNI
9f7b4eb4-ddc2-4da1-a4e6-d62b125822c0;315481;MANUAL_TRANSFER;BRI
29f1951c-936a-465f-bd6e-ef248536a2a1;427492;VIRTUAL_ACCOUNT;MANDIRI
1ed6bed0-6d97-4a27-a3d9-9ea50199db2a;281527;MANUAL_TRANSFER;BCA
50c1e476-0ae1-457d-bc64-d48cab8d0d0a;198388;GOPAY;GOPAY
5d190b22-e337-4cee-bfcd-3e3053165ea2;171050;PAYLATER;KREDIVO
9b80ec88-f7b9-4034-beb5-5204c2db8424;366373;BALANCE;BALANCE
e4910e6d-12a8-4a24-bd4e-8e7477322ed4;192236;GOPAY;GOPAY
05275305-d176-4649-9fd4-082d7ba971c5;230404;PAYLATER;JULO
d0b501cc-6249-4b49-9aa9-2cfb8a90da85;485025;BALANCE;BALANCE
af5bcc19-e278-440f-b0d4-402817d4bd08;266953;PAYLATER;KREDIVO
e48a92d8-ff70-44d0-8356-c70e8fe265b4;308859;BALANCE;BALANCE
975f2bfb-ce36-4d77-9e7e-36780dd28d70;426805;VIRTUAL_ACCOUNT;BCA
18f07b40-2a5e-4ae4-b84e-f353a8bb9e7f;177278;MANUAL_TRANSFER;MANDIRI
89535dcf-dce2-48f5-bdd4-9ceb484b55a5;115492;VIRTUAL_ACCOUNT;BRI
b9c20888-e2f1-4547-a2f1-a8d4d96cd7b3;381999;MANUAL_TRANSFER;MANDIRI
2fd32a25-1bc8-4699-ab1b-80fb7808ef41;232618;MANUAL_TRANSFER;BRI
e6ca00ca-3977-44ec-9b2a-38944212293e;339632;MANUAL_TRANSFER;BNI
c47b2e4e-71b9-4e16-8924-228864e1adab;387296;MANUAL_TRANSFER;BNI
5d989a4a-a321-48a2-a35b-25f65ce49a43;165610;MANUAL_TRANSFER;BRI
7fa437b2-96a8-4946-9b17-de7a4a4f0950;375731;PAYLATER;JULO
b1788ef5-06f6-4765-bbbc-d2770e41aba6;453896;BALANCE;BALANCE
170314f9-f6a5-47fd-80c4-143e44823650;212794;VIRTUAL_ACCOUNT;BNI
53efa6b3-751f-4811-8b87-5b02331f2892;238154;MANUAL_TRANSFER;BRI
bf522d15-f8fe-49cb-bb68-1a20fc533154;257101;VIRTUAL_ACCOUNT;MANDIRI
1f0ae4b4-00b3-4112-8940-84cdbdbf9fc5;289329;MANUAL_TRANSFER;BCA
450a85cb-2da9-4495-9583-843471fb1d26;429983;GOPAY;GOPAY
6b2d3ee1-62f0-46f4-ad65-0838b5b04d5d;167218;PAYLATER;KREDIVO
29eb0801-bf8f-450c-bbdd-7d96d914dea8;306553;BALANCE;BALANCE
0ddd0c0e-e6da-44ce-9dc6-eb925fbccecc;436979;GOPAY;GOPAY
2e85bb4f-cbf6-44cc-8bf5-1bf3eb0b0c64;186737;PAYLATER;JULO
